sampleid	Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
13722.58cfa82fe4b0c9d6adf6b62c	0	0	0	0	0	0	0	12517	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4
13722.58cfa82fe4b0c9d6adf6b5e0	0	0	2	0	0	4	0	13251	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2
13722.58cfa82ee4b0c9d6adf6af8e	0	0	0	0	0	0	0	12764	1	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	977
13722.58cfa82ee4b0c9d6adf6af20	0	0	0	0	0	0	0	17941	0	0	0	0	63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	1	182
13722.58cfa82fe4b0c9d6adf6b669	0	0	0	0	0	0	0	20467	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	6
13722.58cfa82fe4b0c9d6adf6b67c	0	0	0	0	0	0	0	15115	0	0	0	0	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	4	0	0	6319
13722.58cfa82fe4b0c9d6adf6b690	0	0	0	0	0	0	0	8759	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	57
13722.58cfa82fe4b0c9d6adf6b5f1	0	0	0	0	0	0	0	21194	1	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	760
13722.58cfa82fe4b0c9d6adf6b686	0	0	0	0	0	1	0	38501	0	0	0	0	221	0	0	0	0	0	0	0	1	0	0	0	22	0	0	0	0	33	0	0	0	1129
13722.58cfa82fe4b0c9d6adf6b6d8	0	0	0	0	0	0	0	22755	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13722.58cfa82fe4b0c9d6adf6b648	0	0	0	0	7	2	0	16730	0	0	0	0	26180	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	84188
