sampleid	G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
13722.58cfa82fe4b0c9d6adf6b62c	0	0	2	0	0	0	0	0	0	0	0	12517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0
13722.58cfa82fe4b0c9d6adf6b5e0	0	0	0	0	2	0	0	0	0	0	4	13251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0
13722.58cfa82ee4b0c9d6adf6af8e	0	0	3	0	0	0	0	0	0	0	0	12764	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	11	0
13722.58cfa82ee4b0c9d6adf6af20	0	0	3	0	0	0	0	0	0	0	0	17941	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0
13722.58cfa82fe4b0c9d6adf6b669	0	0	1	0	0	0	0	0	0	0	0	20467	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0
13722.58cfa82fe4b0c9d6adf6b67c	0	0	2	0	0	0	0	0	0	0	0	15115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	15	0
13722.58cfa82fe4b0c9d6adf6b690	0	0	0	0	0	0	0	0	0	1	0	8759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	28	0
13722.58cfa82fe4b0c9d6adf6b5f1	0	0	4	0	0	0	0	0	0	0	0	21194	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
13722.58cfa82fe4b0c9d6adf6b686	0	0	3	0	0	0	0	0	0	0	1	38501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	35	0
13722.58cfa82fe4b0c9d6adf6b6d8	0	0	1	0	0	0	0	0	0	0	0	22755	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
13722.58cfa82fe4b0c9d6adf6b648	0	0	0	0	0	0	0	7	0	0	2	16730	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	2	2	30	1
13722.58cfa82fe4b0c9d6adf6b6c1	0	0	3	0	0	0	0	0	0	0	1	11464	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	3	1
13722.58cfa82fe4b0c9d6adf6b60d	0	0	1	0	0	0	0	10	0	0	0	7599	0	0	0	0	28	0	0	0	0	0	1	0	0	0	0	22	1	54	1
13722.58cfa82fe4b0c9d6adf6b748	0	0	1	0	0	0	0	0	0	0	0	25473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
13722.58cfa82fe4b0c9d6adf6b71e	0	0	0	0	0	0	0	0	0	0	2	18825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa82fe4b0c9d6adf6b680	0	0	3	0	0	0	0	10	0	1	0	2487	0	0	4	0	39	0	0	0	1	0	0	0	0	0	1	53	0	3	0
13722.58cfa82fe4b0c9d6adf6b7ca	0	0	2	0	0	0	0	0	0	0	0	23172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
13722.58cfa82fe4b0c9d6adf6b880	0	0	2	0	0	0	0	2	0	0	0	19957	0	0	0	0	6	2	0	0	0	0	0	1	0	0	2	0	6	3	0
13722.58cfa82fe4b0c9d6adf6b8dc	0	0	0	0	0	0	0	0	0	0	0	14214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
13722.58cfa82fe4b0c9d6adf6b8c0	0	0	0	0	0	0	0	0	0	0	0	20640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0
13722.58cfa82fe4b0c9d6adf6b6fc	0	0	0	0	0	0	0	6	0	0	0	4813	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	182	0
13722.58cfa82fe4b0c9d6adf6b8d9	0	0	4	0	0	0	0	0	0	1	0	34851	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
13722.58cfa830e4b0c9d6adf6bc48	0	0	0	0	0	0	0	0	0	0	0	2753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa82fe4b0c9d6adf6b766	0	0	3	0	0	0	0	8	0	0	0	12194	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	4	1	4	0
13722.58cfa82fe4b0c9d6adf6b9f0	0	0	4	0	0	0	0	5	0	0	0	24184	1	0	0	0	26	0	0	0	0	0	0	0	0	1	1	0	0	0	0
13722.58cfa830e4b0c9d6adf6bb6a	0	0	2	0	0	0	0	0	0	0	2	15094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
13722.58cfa830e4b0c9d6adf6bdce	0	0	0	0	0	0	0	0	0	0	0	2572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13722.58cfa830e4b0c9d6adf6bdd4	0	0	0	0	0	0	0	0	0	0	0	11021	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	4	0
