Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
0	0	0	0	0	0	0	12517	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4
0	0	0	0	0	0	0	17941	0	0	0	0	63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	1	182
0	0	0	0	0	0	0	22755	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	7	2	0	16730	0	0	0	0	26180	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	84188
0	0	0	0	10	0	0	7599	0	0	1	2	18354	28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	22	0	2	59823
0	0	0	0	0	0	0	25473	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	5
0	0	0	0	10	0	0	2487	0	0	0	0	38830	39	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	53	4	1	114018
0	0	0	0	0	0	0	20640	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	3
0	0	0	0	6	0	0	4813	0	0	1	0	141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	8	0	0	1272
0	0	0	0	0	0	0	34851	1	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	60
0	0	0	0	0	2	0	15094	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1588
0	0	2	1	0	0	0	8661	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	0	0	3
0	0	0	0	0	0	0	26952	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8
0	0	0	0	0	1	0	23473	0	0	0	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
0	0	0	0	2	2	0	7111	1	0	0	0	172	14	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	587
0	0	0	0	8	0	0	19504	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	59
0	0	0	0	4	0	0	19676	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	66
0	0	0	0	2	0	0	21731	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5
0	0	0	0	2	0	0	22805	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20
0	0	0	0	2	0	0	29371	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13
0	0	0	0	0	0	0	24834	1	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	36	0	2	0	382
