sampleid,G000002515,G000002545,G000003855,G000006335,G000006445,G000026945,G000091025,G000146045,G000149425,G000149645,G000149955,G000181695,G000182965,G000185945,G000226395,G000243375,G000300575,G000315645,G000349305,G000721785,G000769745,G001298625,G001417885,G001642055,G001661405,G002079055,G002775015,G003290485,G004154835,G004353045,G900007375
13722.58cfa82fe4b0c9d6adf6b62c,0,0,2,0,0,0,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
13722.58cfa82ee4b0c9d6adf6af20,0,0,3,0,0,0,0,0,0,0,0,17941,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0
13722.58cfa82fe4b0c9d6adf6b6d8,0,0,1,0,0,0,0,0,0,0,0,22755,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
13722.58cfa82fe4b0c9d6adf6b648,0,0,0,0,0,0,0,7,0,0,2,16730,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,2,2,30,1
13722.58cfa82fe4b0c9d6adf6b60d,0,0,1,0,0,0,0,10,0,0,0,7599,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,22,1,54,1
13722.58cfa82fe4b0c9d6adf6b748,0,0,1,0,0,0,0,0,0,0,0,25473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
13722.58cfa82fe4b0c9d6adf6b680,0,0,3,0,0,0,0,10,0,1,0,2487,0,0,4,0,39,0,0,0,1,0,0,0,0,0,1,53,0,3,0
13722.58cfa82fe4b0c9d6adf6b8c0,0,0,0,0,0,0,0,0,0,0,0,20640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
13722.58cfa82fe4b0c9d6adf6b6fc,0,0,0,0,0,0,0,6,0,0,0,4813,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,182,0
13722.58cfa82fe4b0c9d6adf6b8d9,0,0,4,0,0,0,0,0,0,1,0,34851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
13722.58cfa830e4b0c9d6adf6bb6a,0,0,2,0,0,0,0,0,0,0,2,15094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
13722.58cfa82fe4b0c9d6adf6b6f8,0,0,2,0,2,0,0,0,0,1,0,8661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0
13722.58cfa830e4b0c9d6adf6be88,0,0,3,0,0,0,0,0,0,0,0,26952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
13722.58cfa830e4b0c9d6adf6beea,0,0,1,0,0,0,0,0,0,0,1,23473,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0
13722.58cfa830e4b0c9d6adf6bcc6,0,0,9,0,0,0,0,2,0,1,2,7111,1,0,1,0,14,0,0,0,0,0,0,1,0,0,4,0,1,1,1
13722.58cfa830e4b0c9d6adf6bf44,0,0,2,0,0,0,0,8,0,0,0,19504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,0
13722.58cfa830e4b0c9d6adf6c1a0,0,0,0,0,0,0,0,4,0,0,0,19676,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
