G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
0	0	2	0	0	0	0	0	0	0	0	12517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0
0	0	3	0	0	0	0	0	0	0	0	17941	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0
0	0	1	0	0	0	0	0	0	0	0	22755	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
0	0	0	0	0	0	0	7	0	0	2	16730	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	2	2	30	1
0	0	1	0	0	0	0	10	0	0	0	7599	0	0	0	0	28	0	0	0	0	0	1	0	0	0	0	22	1	54	1
0	0	1	0	0	0	0	0	0	0	0	25473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
0	0	3	0	0	0	0	10	0	1	0	2487	0	0	4	0	39	0	0	0	1	0	0	0	0	0	1	53	0	3	0
0	0	0	0	0	0	0	0	0	0	0	20640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0
0	0	0	0	0	0	0	6	0	0	0	4813	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	182	0
0	0	4	0	0	0	0	0	0	1	0	34851	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
0	0	2	0	0	0	0	0	0	0	2	15094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
0	0	2	0	2	0	0	0	0	1	0	8661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	1	0	0
0	0	3	0	0	0	0	0	0	0	0	26952	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
0	0	1	0	0	0	0	0	0	0	1	23473	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0
0	0	9	0	0	0	0	2	0	1	2	7111	1	0	1	0	14	0	0	0	0	0	0	1	0	0	4	0	1	1	1
0	0	2	0	0	0	0	8	0	0	0	19504	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	16	0
0	0	0	0	0	0	0	4	0	0	0	19676	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0
0	0	0	0	0	0	0	2	0	0	0	21731	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0
0	0	0	0	0	0	0	2	0	0	0	22805	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0	0	3	0	0	0	0	2	0	0	0	29371	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0
0	0	11	0	0	0	0	0	0	0	0	24834	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	103	0
0	0	1	0	0	0	0	2	0	0	0	18488	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	0	1	0
0	0	0	0	0	0	0	2	0	0	0	18958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	1	0
0	0	1	0	0	0	0	0	0	0	0	34078	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	4	1	0
0	0	8	0	0	0	0	0	0	0	0	17403	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	2
0	0	0	0	0	0	0	5	0	0	0	17474	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	10	1	1	0
0	0	0	0	0	0	0	2	0	0	0	25439	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	2	0	0	0	25605	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	10453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0	0	0	1	0	0	0	0	0	0	0	15145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	18464	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	0
0	0	0	0	0	0	0	0	0	0	0	19706	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	15	0	0	0	0	0	0	0	0	0	19005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	0	0	21895	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	19917	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	915	0	2	0	0	1	0	0	22868	4	0	0	0	6	0	0	0	0	0	0	0	0	0	1	15	0	0	0
0	0	0	0	0	0	0	0	0	0	0	16764	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0
0	0	0	0	0	0	0	0	0	0	0	14459	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	249	0	0	0	3	0	0	0	0	0	5869	61	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	9522	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	17281	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	1	1	0
0	0	2	0	0	0	0	2	0	0	0	24383	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0
0	0	5	0	0	0	0	0	0	2	0	23519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
0	0	2	0	0	0	0	2	0	0	0	12920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0
0	0	3	0	0	0	0	0	0	0	0	9741	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0
0	0	5	0	0	0	0	0	0	0	0	20437	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
